TestCases,Run
Neg_LoanMgmt_BrwRegInc_PDL_PayFrq_Blank,Y
Neg_LoanMgmt_BrwRegInc_PDL_PayStubRevDate_Blank,Y
Neg_LoanMgmt_BrwRegInc_PDL_PayStubRevDate_Future,Y
Neg_LoanMgmt_BrwRegInc_PDL_PayStubDate_Blank,Y
Neg_LoanMgmt_BrwRegInc_PDL_PayStubDate_GreaterThan_PayStubRevDate,Y
Neg_LoanMgmt_BrwRegInc_PDL_HireDate_Future,Y
Neg_LoanMgmt_BrwRegInc_PDL_DirectDep_Blank,Y
Neg_LoanMgmt_BrwRegBank_PDL_AcctVerDate_Blank,Y
Neg_LoanMgmt_BrwRegBank_PDL_AcctVerDate_Future,Y
Neg_LoanMgmt_BrwRegBank_PDL_ABARoutingNbr_Blank,Y
Neg_LoanMgmt_BrwRegBank_PDL_ConfirmABARoutingNbr_Blank,Y
Neg_LoanMgmt_BrwRegBank_PDL_ABARouting_ConfirmABARoutingNbr_MIsmatch,Y
Neg_LoanMgmt_BrwRegBank_PDL_ABARouting_LessThan9Digit,Y
Neg_LoanMgmt_BrwRegBank_PDL_CheckingAcctNbr_Blank,Y
Neg_LoanMgmt_BrwRegBank_PDL_ConfirmCheckingAcctNbr_Blank,Y
Neg_LoanMgmt_BrwRegBank_PDL_CheckingAcct_ConfirmCheckingAcctNbr_MIsmatch,Y
Neg_LoanMgmt_BrwRegBank_PDL_ChkgAcct_LessThan4Digit,Y
CashManagement,
CashMgmt_Safe_Assign,Y
CashMgmt_storeToStoreTransferAndVoid,Y
CashMgmt_Drawer_Assign_Safe_CashIn,Y
CashMgmt_InternalTransfer_Safe_ToDrawer,Y
CashMgmt_Drawer_Balance,Y
CashMgmt_Drawer_DeAssign,Y
CashMgmt_Safe_Balance,Y
CashMgmt_Safe_DepositAndVoid,Y
CashMgmt_Safe_manualDepositSlip,Y
CashMgmt_adminDrawerDessign,Y
CashMgmt_eodProcessing,Y
CashMgmt_adminProcessDateChange,Y
CashMgmt_adminEODBatchProcess,Y
CashMgmt_Safe_DeAssign,Y
Negative,
Neg_CashMgmt_CashIn_NoSafeAssigned,Y
Neg_CashMgmt_SafeAssign_AlreadyAssigned_Error,Y
Neg_CashMgmt_SafeBalance_BankerPINInvalid_Error,Y
Neg_CashMgmt_SafeDeAssign_BankerPINInvalid_Error,Y
Neg_CashMgmt_DrawerAssign_AlreadyAssigned_Error,Y
Neg_CashMgmt_DrawerBalance_InvalidUserPIN_Error,Y
Neg_CashMgmt_DrawerDeAssign_InvalidUserPIN_Error,Y
Cutomer Management,
Prerequest_BOD_CSR1,Y
CustMgmt_Registration,Y
CustMgmt_Edit,Y
CustMgmt_UploadCustomerDocuments,N
CustMgmt_IncomeWorksheet,N
CustMgmt_Bankruptcy,Y
CustMgmt_BankruptcyDischarge,Y
CustMgmt_BankruptcyDismiss,Y
CustMgmt_PendingBankruptcy,Y
CustMgmt_PendingBankruptcyVoid,Y
CustMgmt_PendingVoid,Y
CustMgmt_BankruptcyVoid,Y
CustMgmt_Deceased,Y
CustMgmt_DeceasedVoid,Y
Collections Management,
Prerequest_EOD_BOD_CSR2,Y
CollMgmt_SearchByCustomer,Y
CollMgmt_CE_CollectionPayoff,N
CollMgmt_CE_PTP,Y
CollMgmt_CE_Bankruptcy,Y
CollMgmt_CommentsNotes,Y
CollMgmt_VerifyCustomerRecord,Y
CollMgmt_VerifyEmailHistory,Y
CollMgmt_NotesHistory,Y
CollMgmt_VerifyPaymentSchedule,Y
CollMgmt_VerifyPTPHistory,Y
CollMgmt_CustomerSearchByQueue,N
CollMgmt_SummaryView,Y
CollMgmt_VerifyVehicleHistory,Y
CollMgmt_VerifyTransactionHistory,Y
