TestCases,Run
Neg_LoanMgmt_BrwReg_PDL_DOB_Blank,Y
Neg_LoanMgmt_BrwReg_PDL_IDExpiry_Invalid,Y
Neg_LoanMgmt_BrwRegInc_PDL_IncomeType_Blank,Y
Neg_LoanMgmt_BrwRegInc_PDL_Employer_Blank,Y
Neg_LoanMgmt_BrwRegInc_PDL_Employer_SplChr,Y
Neg_LoanMgmt_BrwRegInc_PDL_WorkPhone_AllZero,Y
Neg_LoanMgmt_BrwRegInc_PDL_WorkPhone_lessthan10digit,Y
Neg_LoanMgmt_BrwRegInc_PDL_GrossInc_Blank,Y
Neg_LoanMgmt_BrwRegInc_PDL_GrossInc_Zero,Y
Neg_LoanMgmt_BrwRegInc_PDL_NetInc_Blank,Y
Neg_LoanMgmt_BrwRegInc_PDL_NetInc_Zero,Y
Neg_LoanMgmt_BrwRegInc_PDL_GrossLessThanNetInc,Y
Neg_LoanMgmt_BrwRegInc_PDL_PayFrq_Blank,Y
Neg_LoanMgmt_BrwRegInc_PDL_PayStubRevDate_Blank,Y
Neg_LoanMgmt_BrwRegInc_PDL_PayStubRevDate_Future,Y
Neg_LoanMgmt_BrwRegInc_PDL_PayStubDate_Blank,Y
Neg_LoanMgmt_BrwRegInc_PDL_PayStubDate_GreaterThan_PayStubRevDate,Y
Neg_LoanMgmt_BrwRegInc_PDL_HireDate_Future,Y
Neg_LoanMgmt_BrwRegInc_PDL_DirectDep_Blank,Y
Neg_LoanMgmt_BrwRegBank_PDL_AcctVerDate_Blank,Y
Neg_LoanMgmt_BrwRegBank_PDL_AcctVerDate_Future,Y
Neg_LoanMgmt_BrwRegBank_PDL_ABARoutingNbr_Blank,Y
Neg_LoanMgmt_BrwRegBank_PDL_ConfirmABARoutingNbr_Blank,Y
Neg_LoanMgmt_BrwRegBank_PDL_ABARouting_ConfirmABARoutingNbr_MIsmatch,Y
Neg_LoanMgmt_BrwRegBank_PDL_ABARouting_LessThan9Digit,Y
Neg_LoanMgmt_BrwRegBank_PDL_CheckingAcctNbr_Blank,Y
Neg_LoanMgmt_BrwRegBank_PDL_ConfirmCheckingAcctNbr_Blank,Y
Neg_LoanMgmt_BrwRegBank_PDL_CheckingAcct_ConfirmCheckingAcctNbr_MIsmatch,Y
Neg_LoanMgmt_BrwRegBank_PDL_ChkgAcct_LessThan4Digit,Y
