DataName,brp_Validation,Mode,Customer_Nbr,IncomeType,Employer,Employee_Status,Work_Phone,Net_Income_Amt,Gross_Income_Amt,Pay_Frequency,MonthlyDate,SemiMonthlyDate,Day_month,BrwrRegIncm_WeekDay_Frequency,BrwrRegIncm_semiMonthly_Option,BrwrRegIncm_monthlyDate,Stub_Reviewed_Month,Stub_Reviewed_Day,Stub_Reviewed_Year,PayStubReview_Date,Stub_Month,Stub_Day,Stub_Year,PayStub_Date,Hire_Date,Direct_Deposit,BrwrRegIncm_DNC_Checkbox,bri_AddIncomeSource,BrwrRegOthers_next_Button,brp_ValidationMsg
TTL_Customer_Reg_Employed_Monthly,,New,,Employed,Big Lots,Active,Random,2200,2500,Monthly,1st,,,,,,7,15,2018,SAME AS APPLICATIONDATE,7,15,2018,SAME AS APPLICATIONDATE,06/05/2010,Yes,,,,
PDL_Customer_Reg_Gov_SemiMonthly,,New,,Government Payment,Disability,Active,Random,3000,3500,Semi-Monthly,,Y,,,,,7,15,2018,SAME AS APPLICATIONDATE,7,15,2018,SAME AS APPLICATIONDATE,06/05/2010,No,,,,
LOC_Customer_Reg_Other_Weekly,,New,,Other,Other,Active,Random,1200,1500,Weekly,,,,Friday,,,6,15,2018,SAME AS APPLICATIONDATE,6,15,2018,SAME AS APPLICATIONDATE,06/05/2010,Yes,,,,
TTL_Customer_Reg_Retire_BiWeekly,,New,,Retirement,Home,Active,Random,1400,1700,Bi-Weekly,,,,,,,6,15,2018,SAME AS APPLICATIONDATE,6,15,2018,SAME AS APPLICATIONDATE,06/05/2010,No,,,,
PDL_Customer_Reg_SelfEmployed_Monthly,,New,,Self Employed,Hexaware,Active,Random,2200,2500,Monthly,1st,,,,,,6,15,2018,SAME AS APPLICATIONDATE,6,15,2018,SAME AS APPLICATIONDATE,06/05/2010,Yes,,,,
Emp_Monthly_Edit,,Edit,CDF(brwrRegOthers.BrwrRegOthers_CustNbr),Employed,Hexaware,Active,Random,2000,2500,Monthly,1st,,,,,5,6,1,2018,SAME AS APPLICATIONDATE,6,1,2018,SAME AS APPLICATIONDATE,06/05/2010,Yes,,Click,,
Other_SemiMonthly_Edit,,Edit,CDF(brwrRegOthers.BrwrRegOthers_CustNbr),Other,Other,Active,Random,1500,1800,Semi-Monthly,,Y,,,,,6,1,2018,SAME AS APPLICATIONDATE,6,1,2018,SAME AS APPLICATIONDATE,06/05/2010,No,,Click,,
Retire_Weekly_Edit,,Edit,CDF(brwrRegOthers.BrwrRegOthers_CustNbr),Retirement,Home,Active,Random,1000,1300,Weekly,,,,Friday,,,6,1,2018,SAME AS APPLICATIONDATE,6,1,2018,SAME AS APPLICATIONDATE,06/05/2010,Yes,,Click,,
LOC_IncomeType_Blank,Negative,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,Income Type should not be left blank. Please enter information.
TLP_IncomeType_Blank,Negative,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,Income Type should not be left blank. Please enter information.
PDL_IncomeType_Blank,Negative,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,Income Type should not be left blank. Please enter information.
LOC_Employer_Blank,Negative,New,,Self Employed,,,,,,,,,,,,,,,,,,,,,,,,,,Employer should not be left blank. Please enter information.
TLP_Employer_Blank,Negative,New,,Self Employed,,,,,,,,,,,,,,,,,,,,,,,,,,Employer should not be left blank. Please enter information.
PDL_Employer_Blank,Negative,New,,Self Employed,,,,,,,,,,,,,,,,,,,,,,,,,,Employer should not be left blank. Please enter information.
LOC_Employer_SplChr,Negative,New,,Self Employed,$pl C#@r,,,,,,,,,,,,,,,,,,,,,,,,,Employer cannot accept special characters. Please enter valid data
TLP_Employer_SplChr,Negative,New,,Self Employed,$pl C#@r,,,,,,,,,,,,,,,,,,,,,,,,,Employer cannot accept special characters. Please enter valid data
PDL_Employer_SplChr,Negative,New,,Self Employed,$pl C#@r,,,,,,,,,,,,,,,,,,,,,,,,,Employer cannot accept special characters. Please enter valid data
LOC_WorkPhone_AllZero,NegativePopup,New,,Self Employed,Hexaware,Active,000-000-0000,,,,,,,,,,,,,,,,,,,,,,,Work Phone Nbr should not be all Zeros. Please re-enter Valid Work Phone Nbr
TLP_WorkPhone_AllZero,NegativePopup,New,,Self Employed,Hexaware,Active,000-000-0000,,,,,,,,,,,,,,,,,,,,,,,Work Phone Nbr should not be all Zeros. Please re-enter Valid Work Phone Nbr
PDL_WorkPhone_AllZero,NegativePopup,New,,Self Employed,Hexaware,Active,000-000-0000,,,,,,,,,,,,,,,,,,,,,,,Work Phone Nbr should not be all Zeros. Please re-enter Valid Work Phone Nbr
LOC_WorkPhone_lessthan10digit,Negative,New,,Self Employed,Hexaware,Active,123-456-789,,1234,,,,,,,,,,,,,,,,,,,,,Work Phone Nbr must be atleast 10 digits. Please re-enter.
TLP_WorkPhone_lessthan10digit,Negative,New,,Self Employed,Hexaware,Active,123-456-789,,1234,,,,,,,,,,,,,,,,,,,,,Work Phone Nbr must be atleast 10 digits. Please re-enter.
PDL_WorkPhone_lessthan10digit,Negative,New,,Self Employed,Hexaware,Active,123-456-789,,1234,,,,,,,,,,,,,,,,,,,,,Work Phone Nbr must be atleast 10 digits. Please re-enter.
LOC_GrossInc_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,,,,,,,,,,,,,,,,,,,,,,,Gross Income Amt should not be empty
TLP_GrossInc_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,,,,,,,,,,,,,,,,,,,,,,,Gross Income Amt should not be empty
PDL_GrossInc_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,,,,,,,,,,,,,,,,,,,,,,,Gross Income Amt should not be empty
LOC_GrossInc_Zero,Negative,New,,Self Employed,Hexaware,Active,Random,,0,,,,,,,,,,,,,,,,,,,,,Gross Income Amt should not be equal to the Zero
TLP_GrossInc_Zero,Negative,New,,Self Employed,Hexaware,Active,Random,,0,,,,,,,,,,,,,,,,,,,,,Gross Income Amt should not be equal to the Zero
PDL_GrossInc_Zero,Negative,New,,Self Employed,Hexaware,Active,Random,,0,,,,,,,,,,,,,,,,,,,,,Gross Income Amt should not be equal to the Zero
LOC_NetInc_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,,1234,,,,,,,,,,,,,,,,,,,,,Net Income Amt should not be left blank. Please enter information.
TLP_NetInc_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,,1234,,,,,,,,,,,,,,,,,,,,,Net Income Amt should not be left blank. Please enter information.
PDL_NetInc_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,,1234,,,,,,,,,,,,,,,,,,,,,Net Income Amt should not be left blank. Please enter information.
LOC_NetInc_Zero,Negative,New,,Self Employed,Hexaware,Active,Random,0,1234,,,,,,,,,,,,,,,,,,,,,Net Income Amt should not be equal to the Zero
TLP_NetInc_Zero,Negative,New,,Self Employed,Hexaware,Active,Random,0,1234,,,,,,,,,,,,,,,,,,,,,Net Income Amt should not be equal to the Zero
PDL_NetInc_Zero,Negative,New,,Self Employed,Hexaware,Active,Random,0,1234,,,,,,,,,,,,,,,,,,,,,Net Income Amt should not be equal to the Zero
LOC_GrossLessThanNetInc,Negative,New,,Self Employed,Hexaware,Active,Random,1235,1234,,,,,,,,,,,,,,,,,,,,,Net Income Amt should be less than or equal to the Gross Income Amt
TLP_GrossLessThanNetInc,Negative,New,,Self Employed,Hexaware,Active,Random,1235,1234,,,,,,,,,,,,,,,,,,,,,Net Income Amt should be less than or equal to the Gross Income Amt
PDL_GrossLessThanNetInc,Negative,New,,Self Employed,Hexaware,Active,Random,1235,1234,,,,,,,,,,,,,,,,,,,,,Net Income Amt should be less than or equal to the Gross Income Amt
LOC_PayFrq_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,,,,,,,,,,,,,,,,,,,,,Pay Frequency should not be left blank. Please enter information.
TLP_PayFrq_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,,,,,,,,,,,,,,,,,,,,,Pay Frequency should not be left blank. Please enter information.
PDL_PayFrq_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,,,,,,,,,,,,,,,,,,,,,Pay Frequency should not be left blank. Please enter information.
LOC_PayStubRevDate_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,,,,,,,,,,,,,,Pay Stub Reviewed Date cannot be left blank. Please enter information.
TLP_PayStubRevDate_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,,,,,,,,,,,,,,Pay Stub Reviewed Date cannot be left blank. Please enter information.
PDL_PayStubRevDate_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,,,,,,,,,,,,,,Pay Stub Reviewed Date cannot be left blank. Please enter information.
LOC_PayStubRevDate_Future,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,1,1,2020,01/01/2099,,,,,,,,,,Date Of Pay Stub Reviewed should not be in the future. Please re-enter.
TLP_PayStubRevDate_Future,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,1,1,2020,01/01/2099,,,,,,,,,,Date Of Pay Stub Reviewed should not be in the future. Please re-enter.
PDL_PayStubRevDate_Future,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,1,1,2020,01/01/2099,,,,,,,,,,Date Of Pay Stub Reviewed should not be in the future. Please re-enter.
LOC_PayStubDate_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,6,1,2018,SAME AS APPLICATIONDATE,,,,,,,,,,Pay Stub Date cannot be left blank. Please enter information.
TLP_PayStubDate_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,6,1,2018,SAME AS APPLICATIONDATE,,,,,,,,,,Pay Stub Date cannot be left blank. Please enter information.
PDL_PayStubDate_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,6,1,2018,SAME AS APPLICATIONDATE,,,,,,,,,,Pay Stub Date cannot be left blank. Please enter information.
LOC_PayStubDate_GreaterThan_PayStubRevDate,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,6,1,2018,SAME AS APPLICATIONDATE,6,1,2019,01/01/2099,,,,,,Pay Stub Reviewed Date cannot be earlier than the Pay Stub Date. Please re-enter.
TLP_PayStubDate_GreaterThan_PayStubRevDate,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,6,1,2018,SAME AS APPLICATIONDATE,6,1,2019,01/01/2099,,,,,,Pay Stub Reviewed Date cannot be earlier than the Pay Stub Date. Please re-enter.
PDL_PayStubDate_GreaterThan_PayStubRevDate,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,6,1,2018,SAME AS APPLICATIONDATE,6,1,2019,01/01/2099,,,,,,Pay Stub Reviewed Date cannot be earlier than the Pay Stub Date. Please re-enter.
LOC_HireDate_Future,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,6,1,2018,SAME AS APPLICATIONDATE,6,1,2018,SAME AS APPLICATIONDATE,01/01/2099,,,,,Date Of Hire can not be in the future. Please re-enter.
TLP_HireDate_Future,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,6,1,2018,SAME AS APPLICATIONDATE,6,1,2018,SAME AS APPLICATIONDATE,01/01/2099,,,,,Date Of Hire can not be in the future. Please re-enter.
PDL_HireDate_Future,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,6,1,2018,SAME AS APPLICATIONDATE,6,1,2018,SAME AS APPLICATIONDATE,01/01/2099,,,,,Date Of Hire can not be in the future. Please re-enter.
LOC_DirectDep_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,6,1,2018,SAME AS APPLICATIONDATE,6,1,2018,SAME AS APPLICATIONDATE,,,,,,Direct Deposit cannot be empty. Please enter information.
TLP_DirectDep_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,6,1,2018,SAME AS APPLICATIONDATE,6,1,2018,SAME AS APPLICATIONDATE,,,,,,Direct Deposit cannot be empty. Please enter information.
PDL_DirectDep_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,6,1,2018,SAME AS APPLICATIONDATE,6,1,2018,SAME AS APPLICATIONDATE,,,,,,Direct Deposit cannot be empty. Please enter information.
INST_IncomeType_Blank,Negative,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,Income Type should not be left blank. Please enter information.
INST_Employer_Blank,Negative,New,,Self Employed,,,,,,,,,,,,,,,,,,,,,,,,,,Employer should not be left blank. Please enter information.
INST_Employer_SplChr,Negative,New,,Self Employed,$pl C#@r,,,,,,,,,,,,,,,,,,,,,,,,,Employer cannot accept special characters. Please enter valid data
INST_WorkPhone_AllZero,NegativePopup,New,,Self Employed,Hexaware,Active,000-000-0000,,,,,,,,,,,,,,,,,,,,,,,Work Phone Nbr should not be all Zeros. Please re-enter Valid Work Phone Nbr
INST_WorkPhone_lessthan10digit,Negative,New,,Self Employed,Hexaware,Active,123-456-789,,1234,,,,,,,,,,,,,,,,,,,,,Work Phone Nbr must be atleast 10 digits. Please re-enter.
INST_GrossInc_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,1234,,,,,,,,,,,,,,,,,,,,,,Gross Income Amt should not be empty
INST_GrossInc_Zero,Negative,New,,Self Employed,Hexaware,Active,Random,1234,0,,,,,,,,,,,,,,,,,,,,,Gross Income Amt should not be equal to the Zero
INST_NetInc_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,,1234,,,,,,,,,,,,,,,,,,,,,Net Income Amt should not be empty
INST_NetInc_Zero,Negative,New,,Self Employed,Hexaware,Active,Random,0,1234,,,,,,,,,,,,,,,,,,,,,Net Income Amt should not be equal to the Zero
INST_GrossLessThanNetInc,Negative,New,,Self Employed,Hexaware,Active,Random,1235,1234,,,,,,,,,,,,,,,,,,,,,Net Income Amt should be less than or equal to the Gross Income Amt
INST_PayFrq_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,,,,,,,,,,,,,,,,,,,,,Pay Frequency should not be left blank. Please enter information.
INST_PayStubRevDate_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,,,,,,,,,,,,,,Pay Stub Reviewed Date cannot be left blank. Please enter information.
INST_PayStubRevDate_Future,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,1,1,2020,1/1/2099,,,,,,,,,,Date Of Pay Stub Reviewed should not be in the future. Please re-enter.
INST_PayStubDate_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,6,1,2018,SAME AS APPLICATIONDATE,,,,,,,,,,Pay Stub Date cannot be left blank. Please enter information.
INST_PayStubDate_GreaterThan_PayStubRevDate,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,6,1,2018,SAME AS APPLICATIONDATE,6,1,2019,1/1/2099,,,,,,Pay Stub Reviewed Date cannot be earlier than the Pay Stub Date. Please re-enter.
INST_HireDate_Future,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,6,1,2018,SAME AS APPLICATIONDATE,6,1,2018,SAME AS APPLICATIONDATE,1/1/2099,,,,,Date Of Hire can not be in the future. Please re-enter.
INST_DirectDep_Blank,Negative,New,,Self Employed,Hexaware,Active,Random,1234,1234,Monthly,1st,,,,,,6,1,2018,SAME AS APPLICATIONDATE,6,1,2018,SAME AS APPLICATIONDATE,,,,,,Direct Deposit cannot be empty. Please enter information.
INST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
